date,price,open_price,highest_price,lowest_price,volume,percentage_change
"May 29, 2020",28.55,28.85,29.50,28.10,7.42M,1.78%
"May 28, 2020",28.05,28.50,28.60,27.90,8.06M,-2.09%
"May 27, 2020",28.65,29.30,29.30,28.50,5.68M,-1.21%
"May 26, 2020",29.00,29.30,29.35,28.90,6.70M,-1.19%
"May 22, 2020",29.35,28.90,29.50,28.90,6.06M,1.91%
"May 21, 2020",28.80,29.00,29.00,28.70,4.49M,-0.69%
"May 20, 2020",29.00,28.90,29.20,28.90,3.73M,-0.68%
"May 19, 2020",29.20,29.50,29.50,29.00,8.83M,1.04%
"May 18, 2020",28.90,28.60,29.00,27.85,2.05M,4.52%
"May 15, 2020",27.65,27.20,28.50,27.05,13.42M,2.03%
"May 14, 2020",27.10,27.80,28.00,26.90,4.75M,-2.52%
"May 13, 2020",27.80,28.50,28.50,27.50,10.50M,-0.71%
"May 12, 2020",28.00,29.00,29.00,27.90,24.18M,-1.06%
"May 11, 2020",28.30,29.00,29.00,28.00,7.69M,-0.18%
"May 08, 2020",28.35,30.00,30.00,27.95,8.41M,-1.90%
"May 07, 2020",28.90,30.45,30.45,28.50,6.66M,-5.09%
"May 06, 2020",30.45,30.15,30.95,30.00,13.23M,1.67%
"May 05, 2020",29.95,29.70,30.40,29.50,8.29M,1.53%
"May 04, 2020",29.50,29.00,29.75,28.50,15.93M,3.51%
